"Test","Genotype","AgScore","Bulk.Weight","HT","Hundred.Seed.Weight","LDG","Oil.Dry.Basis","P_O","Protein.Dry.Basis"
"Yield Test 2","N18-1810",2.16666666666666,2315.97215170067,33.8333333333333,14.225,1.91666666666666,20.5433333333333,66.2683333333334,45.725
"Yield Test 2","N18-1812",2.91666666666666,2240.51645186566,37.5,14.875,2.5,21.2283333333333,66.13,44.9016666666667
"Yield Test 2","N18-1817",2.08333333333333,2143.53368472478,35.6666666666666,17,1.91666666666666,20.6483333333333,67.72,47.0716666666667
"Yield Test 2","N18-1818",2.33333333333333,2148.52707662562,36,14.725,2.16666666666666,19.8166666666667,67.71,47.8933333333333
"Yield Test 2","N18-1821",2.41666666666666,2294.33412013034,32.1666666666667,17.025,2,21.9133333333333,65.7433333333334,43.83
"Yield Test 2","N18-1822",2.33333333333333,2118.34479669162,35.3333333333333,17.575,2,19.8966666666667,67.5700000000001,47.6733333333333
"Yield Test 2","N18-1823",2.08333333333333,2431.59691527138,37.3333333333333,18.525,2,21.7916666666667,66.0783333333334,44.2866666666667
"Yield Test 2","Osage",1.99999999999999,2327.10556623515,26.6666666666667,12.675,1.75,21.6766666666667,65.8066666666667,44.13
"Yield Test 2","Roy",2.58333333333333,2298.10690512209,40.1666666666666,13.225,2.33333333333333,21.765,64.7,42.935
"Yield Test 3","Dilday",2.5,2577.66287539317,34.9999999999999,18.125,1.99999999999999,23.8316666666666,63.7966666666665,39.9649999999999
"Yield Test 3","Dunphy",2.5,2406.85188429607,30.1666666666667,17.05,1.91666666666666,22.6266666666667,63.5666666666666,40.9399999999999
"Yield Test 3","LMN09-19",2.66666666666667,2037.00799084006,35.5,19.275,2.08333333333333,19.6783333333333,69.9366666666667,50.2583333333333
"Yield Test 3","N.C. Raleigh",2.41666666666665,2358.28652454932,33.8333333333334,14.4,1.83333333333333,24.5533333333333,64.73,40.1766666666666
"Yield Test 3","N13-47",3.25000000000001,1991.36469005751,38.8333333333333,14.85,2.75,25.32,64.755,39.435
"Yield Test 3","N18-1835",3,1794.25516828262,38.8333333333333,16.675,2.58333333333332,22.6383333333333,68.9166666666666,46.2783333333333
"Yield Test 3","N18-1837",2.66666666666666,2007.04763943498,36.8333333333333,18.925,2.58333333333333,22.1766666666667,67.2083333333333,45.0316666666666
"Yield Test 3","N18-1838",3,1869.85882047025,34.1666666666666,16.05,2.58333333333333,21.4683333333333,68.4533333333333,46.9849999999999
"Yield Test 3","N18-1840",3.08333333333333,1854.76768050325,32.6666666666666,16.75,2.33333333333334,24.0716666666666,67.3083333333333,43.2366666666666
"Yield Test 3","N18-1844",2.66666666666667,2079.06344707163,37.8333333333333,18.25,2.25,23.3183333333333,67.1533333333333,43.835
"Yield Test 3","N18-1855",2.41666666666667,2211.88767163414,35,19.2,1.88068181818181,22.365,68.5983333333333,46.2333333333333
"Yield Test 3","N18-1856",2.66666666666667,1953.22997117031,43,17.5,2.41666666666667,21.19,67.8533333333333,46.6633333333333
"Yield Test 3","N18-1857",3.16666666666666,1796.40047739557,35,17.675,2.66666666666666,23.2816666666666,68.0166666666666,44.735
"Yield Test 3","N18-1858",2.5,1899.56025525825,37.1666666666666,16.75,2.08333333333333,21.5683333333333,68.3666666666666,46.7983333333333
"Yield Test 3","N18-1860",2.66666666666666,1880.69633029949,33.3333333333333,17.05,2.5,21.82,68.7883333333333,46.9683333333333
"Yield Test 3","N18-1861",2.91666666666667,1443.36967684771,39.8333333333333,16.6786516853933,2.66666666666667,22.0066666666666,68.5266666666667,46.52
"Yield Test 3","N18-1864",2.91666666666667,1727.71359769283,34.8333333333333,16.2,2.33333333333333,21.9,68.5916666666666,46.6916666666666
"Yield Test 3","N18-1870",2.66666666666666,1974.20221715386,37.6666666666666,15.925,2.24999999999999,21.8933333333333,68.9983333333333,47.105
"Yield Test 3","N18-1875",2.25,1900.4849574621,33.5,17.525,1.83333333333333,21.4333333333333,68.5816666666666,47.1483333333333
"Yield Test 3","N18-1882",2.33333333333333,1983.81912007401,37.8333333333333,17.325,1.91666666666666,21.1266666666667,69.8033333333333,48.6766666666666
"Yield Test 3","N18-1884",3.08333333333334,1554.42440468938,32.5,15.2,2.41666666666666,22.545,67.7766666666667,45.2316666666666
"Yield Test 3","N18-1906",2.25,2110.42934582658,38,17.65,1.91666666666666,22.975,67.175,44.2
"Yield Test 3","N18-1908",2.83333333333333,2100.33159776042,39.3333333333333,18.675,2.66666666666666,23.125,66.3016666666666,43.1766666666666
"Yield Test 3","N18-1910",2.41666666666667,2028.79663526978,32.5,18.1,2.25,22.69,67.0933333333333,44.4033333333333
"Yield Test 3","N18-1922",2.66666666666667,1940.32112840441,35.8333333333333,16.05,2.25,22.3733333333333,66.17,43.7966666666666
"Yield Test 3","N18-1923",2.75,2150.8203380912,34.8333333333333,17.15,2.08333333333333,23.2483333333333,66.17,42.9216666666666
"Yield Test 3","N18-1925",2.91666666666666,1979.34356140732,37.5,16.5,2.5,22.8166666666667,65.96,43.1433333333333
"Yield Test 3","N18-1929",2.5,1552.5380121935,38,16.3,2.33333333333333,21.2283333333333,68.4916666666666,47.2633333333333
"Yield Test 3","N18-1932",2.41666666666667,2033.161229672,35.8333333333333,20.25,1.83333333333333,22.755,67.165,44.41
"Yield Test 3","N18-1936",2.41666666666666,2015.18501882895,41.1666666666666,17.875,2,23.2016666666666,67.0933333333333,43.8916666666666
